Assembly	Level	WGS	BioSample	Isolate	Taxonomy
GCA_012728665.1	Contig	JAAYER000000000	SAMN13893741	AS07pgkLD_172	Acetivibrio saccincola	
GCA_012719765.1	Contig	JAAXZT000000000	SAMN13893548	AS02xzSISU_19	Acetivibrio thermocellus	
GCA_012517935.1	Contig	JAAYUA000000000	SAMN13894271	AS27yjCOA_120	Acetobacter sp.	
GCA_012516275.1	Contig	JAAYWV000000000	SAMN13894344	AS01afH2WH_28	Acetobacter sp.	
GCA_012516215.1	Contig	JAAYWW000000000	SAMN13894345	AS01afH2WH_32	Acetomicrobium flavidum	
GCA_012843005.1	Contig	DURU00000000	SAMN13894255	AS25fmACSIPFO_94	Acetomicrobium hydrogeniformans	
GCA_012842875.1	Contig	DUWC00000000	SAMN13894862	AS25fmACSIPFO_18	Acholeplasma sp.	
GCA_012839355.1	Contig	DUNK00000000	SAMN13893619	AS05jafATM_61	Acholeplasma sp.	
GCA_012838635.1	Contig	DUOW00000000	SAMN13893799	AS08sgBPME_237	Acholeplasma sp.	
GCA_012838065.1	Contig	DUPY00000000	SAMN13893827	AS08sgBPME_359	Acholeplasma sp.	
GCA_012837395.1	Contig	DURF00000000	SAMN13893860	AS08sgBPME_69	Acholeplasma sp.	
GCA_012837645.1	Contig	DUQU00000000	SAMN13893849	AS08sgBPME_432	Acholeplasmataceae bacterium	
GCA_012837585.1	Contig	DUQW00000000	SAMN13893851	AS08sgBPME_440	Acholeplasmataceae bacterium	
GCA_012838545.1	Contig	DUPC00000000	SAMN13893805	AS08sgBPME_277	Acholeplasmataceae bacterium	
GCA_012838945.1	Contig	DUOG00000000	SAMN13893783	AS08sgBPME_156	Acholeplasmataceae bacterium	
GCA_012838705.1	Contig	DUOT00000000	SAMN13893796	AS08sgBPME_216	Acholeplasmataceae bacterium	
GCA_012839485.1	Contig	DUNF00000000	SAMN13893614	AS05jafATM_21	Acholeplasmataceae bacterium	
GCA_012840905.1	Contig	DUVT00000000	SAMN13894598	AS08sgBPME_462	Acholeplasmataceae bacterium	
GCA_012840815.1	Contig	DUVV00000000	SAMN13894600	AS08sgBPME_51	Acholeplasmataceae bacterium	
GCA_012842895.1	Contig	DUWD00000000	SAMN13894863	AS25fmACSIPFO_22	Acholeplasmataceae bacterium	
GCA_012843105.1	Contig	DURN00000000	SAMN13894248	AS25fmACSIPFO_17	Acholeplasmataceae bacterium	
GCA_012841865.1	Contig	DUTX00000000	SAMN13894550	AS08sgBPME_130	Acholeplasmataceae bacterium	
GCA_012841765.1	Contig	DUUA00000000	SAMN13894553	AS08sgBPME_15	Acholeplasmataceae bacterium	
GCA_012841725.1	Contig	DUUD00000000	SAMN13894556	AS08sgBPME_158	Acholeplasmataceae bacterium	
GCA_012800555.1	Contig	JAAZJB000000000	SAMN13894762	AS21ysBPME_195	Acholeplasmataceae bacterium	
GCA_012800225.1	Contig	JAAZJQ000000000	SAMN13894777	AS21ysBPME_308	Acholeplasmataceae bacterium	
GCA_012800005.1	Contig	JAAZKC000000000	SAMN13894789	AS22ysBPME_182	Acholeplasmataceae bacterium	
GCA_012516595.1	Contig	JAAYWR000000000	SAMN13894340	AS4IglBPLE_40	Acholeplasmataceae bacterium	
GCA_012515785.1	Contig	JAAYXR000000000	SAMN13894404	AS06rmzACSIP_177	Acholeplasmataceae bacterium	
GCA_012517145.1	Contig	JAAYVM000000000	SAMN13894309	AS27yjCOA_58	Acholeplasmataceae bacterium	
GCA_012520715.1	Contig	JAAYNT000000000	SAMN13894090	AS21ysBPME_241	Acholeplasmataceae bacterium	
GCA_012515085.1	Contig	JAAYZB000000000	SAMN13894440	AS06rmzACSIP_282	Acholeplasmataceae bacterium	
GCA_012513485.1	Contig	JAAZCC000000000	SAMN13894519	AS06rmzACSIP_93	Acholeplasmataceae bacterium	
GCA_012512085.1	Contig	JAAZEV000000000	SAMN13894652	AS10tlH2TH_123	Acholeplasmataceae bacterium	
GCA_012719555.1	Contig	JAAYAE000000000	SAMN13893559	AS02xzSISU_80	Acholeplasmataceae bacterium	
GCA_012718985.1	Contig	JAAYBG000000000	SAMN13893652	AS06rmzACSIP_268	Acholeplasmataceae bacterium	
GCA_012744295.1	Contig	JAAYIB000000000	SAMN13893929	AS09scLD_54	Acholeplasmataceae bacterium	
GCA_012522345.1	Contig	JAAYKO000000000	SAMN13894007	AS10tlH2TH_55	Acholeplasmataceae bacterium	
GCA_012521265.1	Contig	JAAYMR000000000	SAMN13894062	AS20ysBPTH_43	Acholeplasmataceae bacterium	
GCA_012521255.1	Contig	JAAYMQ000000000	SAMN13894061	AS20ysBPTH_41	Acholeplasmataceae bacterium	
GCA_012730075.1	Contig	JAAYBP000000000	SAMN13893661	AS06rmzACSIP_334	Acidimicrobiales bacterium	
GCA_012513855.1	Contig	JAAZBK000000000	SAMN13894501	AS06rmzACSIP_577	Acidimicrobiales bacterium	
GCA_012797795.1	Contig	JAAZOL000000000	SAMN13894911	AS27yjCOA_57	Acidobacteria bacterium	
GCA_012797375.1	Contig	JAAZPG000000000	SAMN13894932	AS4BglBPHE_11	Acidobacteria bacterium	
GCA_012516875.1	Contig	JAAYWA000000000	SAMN13894323	AS4AglBPMA_7	Acidobacteria bacterium	
GCA_012517875.1	Contig	JAAYUB000000000	SAMN13894272	AS27yjCOA_128	Acidobacteria bacterium	
GCA_012729555.1	Contig	JAAYCX000000000	SAMN13893695	AS06rmzACSIP_502	Acidobacteria bacterium	
GCA_012719455.1	Contig	JAAYAJ000000000	SAMN13893629	AS06rmzACSIP_118	Acidobacteria bacterium	
GCA_012719355.1	Contig	JAAYAM000000000	SAMN13893632	AS06rmzACSIP_132	Acidobacteria bacterium	
GCA_012521815.1	Contig	JAAYLR000000000	SAMN13894036	AS16jrsBPLL_26	Acidobacteria bacterium	
GCA_012840555.1	Contig	DULE00000000	SAMN13893561	AS04akNAM_10	Acinetobacter towneri	
GCA_012515975.1	Contig	JAAYXI000000000	SAMN13894395	AS06rmzACSIP_135	Actinobacteria bacterium	
GCA_012516025.1	Contig	JAAYXH000000000	SAMN13894394	AS06rmzACSIP_128	Actinobacteria bacterium	
GCA_012514635.1	Contig	JAAYZX000000000	SAMN13894462	AS06rmzACSIP_363	Actinobacteria bacterium	
GCA_012514235.1	Contig	JAAZAR000000000	SAMN13894482	AS06rmzACSIP_445	Actinobacteria bacterium	
GCA_012514115.1	Contig	JAAZAX000000000	SAMN13894488	AS06rmzACSIP_482	Actinobacteria bacterium	
GCA_012510615.1	Contig	JAAZHR000000000	SAMN13894726	AS16jrsBPLL_21	Actinobacteria bacterium	
GCA_012523095.1	Contig	JAAYJE000000000	SAMN13893971	AS10tlH2TH_230	Actinobacteria bacterium	
GCA_012719015.1	Contig	JAAYBE000000000	SAMN13893650	AS06rmzACSIP_249	Actinobacteria bacterium	
GCA_012729575.1	Contig	JAAYCW000000000	SAMN13893694	AS06rmzACSIP_50	Actinobacteria bacterium	
GCA_012837825.1	Contig	DUQM00000000	SAMN13893841	AS08sgBPME_404	Actinobacteria bacterium	
GCA_012797545.1	Contig	JAAZOX000000000	SAMN13894923	AS3CglBPFA_8	Actinobacteria bacterium	
GCA_012837655.1	Contig	DUQT00000000	SAMN13893848	AS08sgBPME_431	Actinomyces sp.	
GCA_012516575.1	Contig	JAAYWS000000000	SAMN13894341	AS4LglBPNY_23	Actinomycetaceae bacterium	
GCA_012515595.1	Contig	JAAYYA000000000	SAMN13894413	AS06rmzACSIP_198	Actinomycetales bacterium	
GCA_012517595.1	Contig	JAAYUO000000000	SAMN13894285	AS27yjCOA_163	Actinomycetales bacterium	
GCA_012514545.1	Contig	JAAZAC000000000	SAMN13894467	AS06rmzACSIP_387	Actinomycetales bacterium	
GCA_012514835.1	Contig	JAAYZM000000000	SAMN13894451	AS06rmzACSIP_319	Actinomycetales bacterium	
GCA_012513955.1	Contig	JAAZBD000000000	SAMN13894494	AS06rmzACSIP_513	Actinomycetales bacterium	
GCA_012513625.1	Contig	JAAZBW000000000	SAMN13894513	AS06rmzACSIP_635	Actinomycetales bacterium	
GCA_012513165.1	Contig	JAAZCT000000000	SAMN13894536	AS07pgkLD_28	Actinomycetales bacterium	
GCA_012729695.1	Contig	JAAYCP000000000	SAMN13893687	AS06rmzACSIP_463	Actinomycetales bacterium	
GCA_012719445.1	Contig	JAAYAH000000000	SAMN13893627	AS06rmzACSIP_109	Actinomycetales bacterium	
GCA_012840835.1	Contig	DUVW00000000	SAMN13894601	AS08sgBPME_60	Actinomycetales bacterium	
GCA_012838715.1	Contig	DUOR00000000	SAMN13893794	AS08sgBPME_204	Actinomycetales bacterium	
GCA_012841845.1	Contig	DUTZ00000000	SAMN13894552	AS08sgBPME_145	Actinomycetales bacterium	
GCA_012799425.1	Contig	JAAZLF000000000	SAMN13894818	AS23ysBPME_173	Actinomycetales bacterium	
GCA_012519775.1	Contig	JAAYPN000000000	SAMN13894136	AS22ysBPME_23	Aeromonadales bacterium	
