"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX9956131","iTag analysis of peat: Day 0 sample from Eriophorum fen 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130910","","10.62","1","27987","16769318","9","AMPLICON","METAGENOMIC","PCR"
"SRX9956130","iTag analysis of peat: Day 0 sample from Palsa Hole Big 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130909","","48.63","1","132606","78943471","8","AMPLICON","METAGENOMIC","PCR"
"SRX9956129","iTag analysis of peat: Day 0 sample from Palsa Hole Big 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130908","","38.18","1","101653","61024657","7","AMPLICON","METAGENOMIC","PCR"
"SRX9956128","Metagenome analysis of peat: field sample from Sphagnum bog  8-18cm, Core 1, Control Replicate 1","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130894","","10599.92","1","72883095","21945264427","241","WGS","METAGENOMIC","RANDOM"
"SRX9956127","Metagenome analysis of peat: field sample from Eriophorum fen 8-18cm, Core 2, Control Replicate 1","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130898","","11376.87","1","78326495","23576399113","245","WGS","METAGENOMIC","RANDOM"
"SRX9956126","Metagenome analysis of peat: Day 50 sample from Sphagnum bog 8-18cm, Replicate 2","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130872","","7654.95","1","58263007","17454428591","222","WGS","METAGENOMIC","RANDOM"
"SRX9956125","Metagenome analysis of peat: Pooled sample from Day50_Erio_8-18-1 and Day50_Erio_8-18-2","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130907","","7170.72","1","53919771","16142415325","253","WGS","METAGENOMIC","RANDOM"
"SRX9956124","Metagenome analysis of peat: Day 0 sample from Sphagnum bog 8-18cm, Replicate 1","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130858","","6973.21","1","53087397","15911687785","201","WGS","METAGENOMIC","RANDOM"
"SRX9956123","Metagenome analysis of peat: Day 0 sample from Eriophorum fen 8-18cm, Replicate 2","peat metagenome","NextSeq 500","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130886","","11028.74","1","84434462","25250002493","210","WGS","METAGENOMIC","RANDOM"
"SRX9956122","iTag analysis of peat: field sample from Eriophorum fen, core 2, 10-14cm","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130906","","9.73","1","33250","19956622","152","AMPLICON","METAGENOMIC","PCR"
"SRX9956121","iTag analysis of peat: field sample from Sphagnum bog, core 2, 30-34cm","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130905","","8.12","1","27480","16493829","151","AMPLICON","METAGENOMIC","PCR"
"SRX9956120","iTag analysis of peat: Day 0 sample from Palsa Hole Big 8-18cm, Replicate  2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130904","","38.88","1","104616","62622396","6","AMPLICON","METAGENOMIC","PCR"
"SRX9956119","iTag analysis of peat: field sample from Sphagnum bog, core 2, 10-14cm","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130903","","4.02","1","13763","8261753","150","AMPLICON","METAGENOMIC","PCR"
"SRX9956118","iTag analysis of peat: field sample from Palsa Hole Big, Hole, core 2, 30-34cm","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130902","","3.97","1","13372","8027921","149","AMPLICON","METAGENOMIC","PCR"
